code_reg	code_dept	code_zoneempl	code_comm	code_post	0	1	commune	pop11	naissances2011	deces2011
11	77	1105	77486	77141	3.08246	48.69756	Vaudoy-en-Brie	849	16	1
11	77	1105	77487	77000	2.69727	48.52459	Vaux-le-Pénil	10803	94	53
11	77	1107	77489	77710	2.95609	48.21721	Vaux-sur-Lunain	203	0	20
11	77	1104	77490	77440	3.10843	49.04151	Vendrest	718	10	5
11	77	1105	77491	77250	2.79535	48.38117	Veneux-les-Sablons	4820	58	34
11	77	1103	77492	77510	3.36521	48.87853	Verdelot	709	3	6
11	77	1105	77493	77390	2.83232	48.63709	Verneuil-l'Étang	3185	32	15
11	77	1105	77494	77670	2.85382	48.40624	Vernou-la-Celle-sur-Seine	2669	35	10
11	77	1105	77495	77240	2.62717	48.57118	Vert-Saint-Denis	6986	69	44
11	77	1105	77496	77370	3.13822	48.58714	Vieux-Champagne	179	2	0
11	77	56	77498	77450	2.81579	48.93263	Vignely	260	5	1
11	77	1107	77500	77710	2.92837	48.20491	Villebéon	457	4	3
11	77	1105	77501	77250	2.84592	48.32726	Villecerf	704	7	5
11	77	1105	77504	77710	2.86855	48.2717	Villemaréchal	830	5	6
11	77	1104	77505	77470	2.98475	48.92023	Villemareuil	397	3	1
11	77	1105	77506	77250	2.82606	48.30366	Villemer	683	8	4
11	77	1108	77507	77480	3.31327	48.4004	Villenauxe-la-Petite	495	2	6
11	77	1102	77508	77174	2.83836	48.81154	Villeneuve-le-Comte	1791	23	13
11	77	1105	77509	77154	3.03086	48.49475	Villeneuve-les-Bordes	609	5	5
11	77	1102	77510	77174	2.79329	48.81245	Villeneuve-Saint-Denis	728	9	13
11	77	56	77511	77230	2.63671	49.02871	Villeneuve-sous-Dammartin	636	14	6
11	77	1103	77512	77510	3.33324	48.87317	Villeneuve-sur-Bellot	1141	15	4
11	77	1104	77513	77124	2.8515	48.94145	Villenoy	4161	60	19
11	77	56	77514	77270	2.617	48.942	Villeparisis	24525	471	133
11	77	56	77515	77410	2.78307	48.98247	Villeroy	700	11	4
11	77	1106	77516	77130	2.89833	48.34454	Ville-Saint-Jacques	718	10	3
11	77	56	77517	77410	2.66225	48.91178	Villevaudé	2027	28	15
11	77	1105	77518	77190	2.60034	48.49542	Villiers-en-Bière	218	4	0
11	77	1108	77519	77560	3.40776	48.65169	Villiers-Saint-Georges	1205	13	27
11	77	1105	77520	77760	2.63918	48.31443	Villiers-sous-Grez	750	2	4
11	77	1102	77521	77580	2.86879	48.84909	Villiers-sur-Morin	1882	19	3
11	77	1108	77522	77114	3.38302	48.45637	Villiers-sur-Seine	303	5	1
11	77	1108	77523	77480	3.35904	48.40534	Villuis	260	1	3
11	77	1105	77524	77520	3.16654	48.44306	Vimpelles	503	4	5
11	77	56	77525	77230	2.73993	49.00337	Vinantes	355	5	1
11	77	1104	77526	77139	2.95814	49.07601	Vincy-Manoeuvre	209	5	2
11	77	1105	77527	77540	3.01742	48.68122	Voinsles	584	6	1
11	77	1105	77528	77950	2.66376	48.57018	Voisenon	1027	3	4
11	77	1102	77529	77580	2.88972	48.84031	Voulangis	1546	17	7
11	77	1108	77530	77560	3.33976	48.61164	Voulton	301	3	2
11	77	1106	77531	77940	2.96998	48.28521	Voulx	1745	21	24
11	77	1108	77532	77160	3.21952	48.56361	Vulaines-lès-Provins	67	1	0
11	77	1105	77533	77870	2.76935	48.43164	Vulaines-sur-Seine	2640	12	29
11	77	1105	77534	77390	2.76899	48.63761	Yèbles	664	7	4
11	78	1112	78003	78660	1.85096	48.52833	Ablis	3260	26	21
11	78	1111	78005	78260	2.09004	48.9718	Achères	19606	348	76
11	78	1112	78006	78113	1.66233	48.72015	Adainville	753	5	6
11	78	1101	78007	78240	2.01536	48.90084	Aigremont	1105	6	3
11	78	1116	78009	78660	1.90249	48.4678	Allainville	298	5	2
11	78	1111	78010	78580	1.91476	48.91432	Les Alluets-le-Roi	1211	10	4
11	78	1113	78013	78770	1.81108	48.88823	Andelu	485	6	2
11	78	1111	78015	78570	2.05026	48.98155	Andrésy	11980	195	70
11	78	1110	78020	78790	1.72044	48.91101	Arnouville-lès-Mantes	864	7	8
11	78	1111	78029	78410	1.8487	48.96269	Aubergenville	11867	200	62
11	78	1112	78030	78610	1.90244	48.6843	Auffargis	1991	17	8
11	78	1110	78031	78930	1.70515	48.95442	Auffreville-Brasseuil	595	4	3
11	78	1111	78033	78126	1.84082	48.92912	Aulnay-sur-Mauldre	1156	10	2
11	78	1109	78034	78770	1.81899	48.83949	Auteuil	869	10	2
11	78	1109	78036	78770	1.797	48.84393	Autouillet	475	3	1
11	78	1116	78043	78870	2.08068	48.83669	Bailly	3902	49	14
11	78	1109	78048	78550	1.66749	48.80732	Bazainville	1442	21	5
11	78	1111	78049	78580	1.8741	48.9319	Bazemont	1517	8	7
11	78	1109	78050	78490	1.85242	48.77385	Bazoches-sur-Guyonne	579	3	1
11	78	1109	78053	78910	1.72424	48.8324	Béhoust	482	5	3
11	78	1110	78057	78270	1.57232	49.048	Bennecourt	1812	32	12
11	78	1113	78062	78650	1.86989	48.85444	Beynes	7676	85	35
11	78	1110	78068	78270	1.48064	49.04079	Blaru	927	2	4
11	78	1110	78070	78930	1.74928	48.92848	Boinville-en-Mantois	321	5	2
11	78	1112	78071	78660	1.87115	48.4958	Boinville-le-Gaillard	616	2	1
11	78	1110	78072	78200	1.66289	48.92049	Boinvilliers	264	4	3
11	78	1116	78073	78390	2.01911	48.80442	Bois-d'Arcy	13788	196	52
11	78	1110	78076	78910	1.58768	48.85873	Boissets	267	1	1
11	78	1112	78077	78125	1.66776	48.68989	La Boissière-École	750	6	3
11	78	1110	78082	78200	1.5816	48.96586	Boissy-Mauvoisin	624	6	1
11	78	1109	78084	78490	1.79754	48.82104	Boissy-sans-Avoir	578	4	3
11	78	1116	78087	78830	2.02963	48.61819	Bonnelles	1922	17	9
11	78	1110	78089	78270	1.57059	49.02001	Bonnières-sur-Seine	4427	82	47
11	78	1111	78090	78410	1.89715	48.96058	Bouafle	2106	28	17
11	78	1116	78092	78380	2.13761	48.8636	Bougival	8472	130	41
11	78	1109	78096	78113	1.65394	48.75432	Bourdonné	502	3	1
11	78	1110	78104	78930	1.71472	48.9436	Breuil-Bois-Robert	713	10	3
11	78	1110	78107	78980	1.54155	48.95497	Bréval	1942	20	11
11	78	1112	78108	78610	1.81639	48.72124	Les Bréviaires	1256	13	7
11	78	1110	78113	78440	1.81317	49.02642	Brueil-en-Vexin	683	9	1
11	78	1116	78117	78530	2.12394	48.77183	Buc	5245	52	24
11	78	1110	78118	78200	1.67437	48.9837	Buchelay	2406	22	9
11	78	1116	78120	78830	1.98308	48.62458	Bullion	1951	23	8
11	78	1111	78123	78955	2.02914	48.94556	Carrières-sous-Poissy	15453	341	69
