INSEE,Commune,DEP,REG,82_14_a,82_14_b,82_14_c,82_14_d,82_14_e,82_14_f,82_14_g
02023,Armentières-sur-Ourcq,02,22,1,0,0,0,0,0,0
02024,Arrancy,02,22,4,0,0,0,0,0,0
02025,Artemps,02,22,2,0,0,0,0,0,0
02026,Artonges,02,22,2,0,0,0,0,0,0
02027,Assis-sur-Serre,02,22,6,0,0,0,0,0,0
02028,Athies-sous-Laon,02,22,1,0,0,0,0,0,0
02029,Attilly,02,22,3,0,0,0,0,0,0
02030,Aubencheul-aux-Bois,02,22,1,0,0,0,0,0,0
02031,Aubenton,02,22,4,0,0,0,0,0,0
02032,Aubigny-aux-Kaisnes,02,22,1,0,0,0,0,0,0
02033,Aubigny-en-Laonnois,02,22,1,0,0,0,0,0,0
02034,Audignicourt,02,22,1,0,0,0,0,0,0
02035,Audigny,02,22,2,0,0,0,0,0,0
02036,Augy,02,22,1,0,0,0,0,0,0
02037,Aulnois-sous-Laon,02,22,3,0,0,0,0,0,0
02038,Autels,02,22,1,0,0,0,0,0,0
02039,Autremencourt,02,22,2,0,0,0,0,0,0
02040,Autreppes,02,22,6,0,0,0,0,0,0
02041,Autreville,02,22,4,0,0,0,0,0,0
02042,Azy-sur-Marne,02,22,6,0,0,0,0,0,0
02043,Bagneux,02,22,1,0,0,0,0,0,0
02044,Bancigny,02,22,2,0,0,0,0,0,0
02046,Barenton-Bugny,02,22,2,0,0,0,0,0,0
02047,Barenton-Cel,02,22,2,0,0,0,0,0,0
02048,Barenton-sur-Serre,02,22,2,0,0,0,0,0,0
02049,Barisis,02,22,5,0,0,0,0,0,0
02050,Barzy-en-Thiérache,02,22,3,0,0,0,0,0,0
02051,Barzy-sur-Marne,02,22,9,1,0,0,0,0,0
02052,Bassoles-Aulers,02,22,3,0,0,0,0,0,0
02053,Baulne-en-Brie,02,22,6,0,0,0,0,0,0
02054,Bazoches-sur-Vesles,02,22,3,0,0,0,0,0,0
02055,Beaumé,02,22,1,0,0,0,0,0,0
02056,Beaumont-en-Beine,02,22,1,0,0,0,0,0,0
02057,Beaurevoir,02,22,4,0,0,0,0,0,0
02058,Beaurieux,02,22,5,0,0,0,0,0,0
02059,Beautor,02,22,6,0,0,0,0,0,0
02060,Beauvois-en-Vermandois,02,22,1,0,0,0,0,0,0
02061,Becquigny,02,22,1,0,0,0,0,0,0
02062,Belleau,02,22,2,0,0,0,0,0,0
02063,Bellenglise,02,22,2,0,0,0,0,0,0
02064,Belleu,02,22,6,0,0,1,0,0,0
02065,Bellicourt,02,22,3,0,0,0,0,0,0
02066,Benay,02,22,1,0,0,0,0,0,0
02067,Bergues-sur-Sambre,02,22,1,0,0,0,0,0,0
02068,Berlancourt,02,22,1,0,0,0,0,0,0
02069,Berlise,02,22,4,0,0,0,0,0,0
02070,Bernot,02,22,3,0,0,0,0,0,0
02071,Berny-Rivière,02,22,10,0,0,0,0,0,0
02072,Berrieux,02,22,1,0,0,0,0,0,0
02073,Berry-au-Bac,02,22,3,0,0,0,0,0,0
02074,Bertaucourt-Epourdon,02,22,2,0,0,0,0,0,0
02075,Berthenicourt,02,22,4,0,0,0,0,0,0
02076,Bertricourt,02,22,2,0,0,0,0,0,0
02077,Berzy-le-Sec,02,22,3,0,0,0,0,0,0
02078,Besmé,02,22,2,0,0,0,0,0,0
02079,Besmont,02,22,1,0,0,0,0,0,0
02080,Besny-et-Loizy,02,22,3,0,0,0,0,0,0
02081,Béthancourt-en-Vaux,02,22,1,0,0,0,0,0,0
02082,Beugneux,02,22,1,0,0,0,0,0,0
02083,Beuvardes,02,22,7,0,0,0,0,0,0
02084,Bézu-le-Guéry,02,22,2,0,0,0,0,0,0
02085,Bézu-Saint-Germain,02,22,3,0,0,0,0,0,0
02086,Bichancourt,02,22,5,0,0,0,0,0,0
02087,Bieuxy,02,22,1,0,0,0,0,0,0
02088,Bièvres,02,22,2,0,0,0,0,0,0
02089,Billy-sur-Aisne,02,22,3,0,0,0,0,0,0
02090,Billy-sur-Ourcq,02,22,1,0,0,0,0,0,0
02091,Blanzy-lès-Fismes,02,22,2,0,0,0,0,0,0
02093,Blérancourt,02,22,2,0,0,0,0,0,0
02094,Blesmes,02,22,5,0,0,0,0,0,0
02095,Bohain-en-Vermandois,02,22,5,0,0,0,0,0,0
02096,Bois-lès-Pargny,02,22,1,0,0,0,0,0,0
02097,Boncourt,02,22,2,0,0,0,0,0,0
02098,Bonneil,02,22,5,0,0,0,0,0,0
02099,Bonnesvalyn,02,22,3,0,0,0,0,0,0
02100,Bony,02,22,3,0,0,0,0,0,0
02101,Bosmont-sur-Serre,02,22,4,0,0,0,0,0,0
02102,Bouconville-Vauclair,02,22,3,1,0,0,0,0,0
02103,Boué,02,22,4,0,0,0,0,0,0
02104,Bouffignereux,02,22,1,0,0,0,0,0,0
02105,Bouresches,02,22,2,0,0,0,0,0,0
02106,Bourg-et-Comin,02,22,6,0,0,0,0,0,0
02107,Bourguignon-sous-Coucy,02,22,3,0,0,0,0,0,0
02108,Bourguignon-sous-Montbavin,02,22,1,0,0,0,0,0,0
02109,Bouteille,02,22,9,0,0,0,0,0,0
02110,Braine,02,22,5,0,0,0,0,0,0
02111,Brancourt-en-Laonnois,02,22,2,0,0,0,0,0,0
02112,Brancourt-le-Grand,02,22,3,0,0,0,0,0,0
02114,Brasles,02,22,8,0,0,0,0,0,0
02115,Braye-en-Laonnois,02,22,1,0,0,0,0,0,0
02116,Braye-en-Thiérache,02,22,1,0,0,0,0,0,0
02117,Bray-Saint-Christophe,02,22,1,0,0,0,0,0,0
02118,Braye,02,22,2,0,0,0,0,0,0
02119,Brécy,02,22,3,0,0,0,0,0,0
02120,Brenelle,02,22,1,0,0,0,0,0,0
02121,Breny,02,22,7,0,0,0,0,0,0
02122,Brie,02,22,1,0,0,0,0,0,0
02123,Brissay-Choigny,02,22,4,0,0,0,0,0,0
02124,Brissy-Hamégicourt,02,22,4,0,0,0,0,0,0
02125,Brumetz,02,22,1,0,0,0,0,0,0
02126,Brunehamel,02,22,1,0,0,0,0,0,0
02127,Bruyères-sur-Fère,02,22,3,0,0,0,0,0,0
02128,Bruyères-et-Montbérault,02,22,3,0,0,0,0,0,0
02129,Bruys,02,22,2,0,0,0,0,0,0
02130,Bucilly,02,22,8,1,0,0,0,0,0
02131,Bucy-le-Long,02,22,7,0,0,0,0,0,0
02132,Bucy-lès-Cerny,02,22,1,0,0,0,0,0,0
02133,Bucy-lès-Pierrepont,02,22,1,0,0,0,0,0,0
02134,Buire,02,22,5,0,0,0,0,0,0
02135,Buironfosse,02,22,6,0,0,0,0,0,0
02136,Burelles,02,22,2,0,0,0,0,0,0
02137,Bussiares,02,22,2,0,0,0,0,0,0
02138,Buzancy,02,22,1,0,0,0,0,0,0
02139,Caillouël-Crépigny,02,22,1,0,0,0,0,0,0
02140,Camelin,02,22,2,0,0,0,0,0,0
02141,Capelle,02,22,6,0,0,0,0,0,0
02142,Castres,02,22,2,0,0,0,0,0,0
02143,Catelet,02,22,3,0,0,0,0,0,0
02144,Caulaincourt,02,22,1,0,0,0,0,0,0
02145,Caumont,02,22,3,0,0,0,0,0,0
02146,Celles-lès-Condé,02,22,4,0,0,0,0,0,0
02147,Celle-sous-Montmirail,02,22,3,0,0,0,0,0,0
02148,Celles-sur-Aisne,02,22,4,0,0,0,0,0,0
02149,Cerizy,02,22,1,0,0,0,0,0,0
02150,Cerny-en-Laonnois,02,22,2,0,0,0,0,0,0
02151,Cerny-lès-Bucy,02,22,2,0,0,0,0,0,0
02152,Cerseuil,02,22,1,0,0,0,0,0,0
02153,Cessières,02,22,2,0,0,0,0,0,0
02154,Chacrise,02,22,3,0,0,0,0,0,0
02155,Chaillevois,02,22,1,0,0,0,0,0,0
02156,Chalandry,02,22,3,0,0,0,0,0,0
02157,Chambry,02,22,3,0,0,0,0,0,0
02158,Chamouille,02,22,1,0,0,0,0,0,0
02159,Champs,02,22,1,0,0,0,0,0,0
02160,Chaourse,02,22,7,0,0,0,0,0,0
02161,Chapelle-Monthodon,02,22,2,0,0,0,0,0,0
02162,Chapelle-sur-Chézy,02,22,1,0,0,0,0,0,0
02163,Charly,02,22,8,0,0,0,0,0,0
02164,Charmel,02,22,4,0,0,0,0,0,0
02165,Charmes,02,22,4,0,0,0,0,0,0
02166,Chartèves,02,22,4,0,0,0,0,0,0
02167,Chassemy,02,22,2,0,0,0,0,0,0
